created_at,entry_id,Temperature,Humidity,Moisture Sensor,Light Sensor,latitude,longitude,elevation,status
2023-02-07T08:25:13+07:00,242,24,63,1316,218,,,,Bukan Fuzzy
2023-02-07T08:25:34+07:00,243,24,63,1245,222,,,,Bukan Fuzzy
2023-02-07T08:25:54+07:00,244,24,64,1326,223,,,,Bukan Fuzzy
2023-02-07T08:26:14+07:00,245,24,64,1256,223,,,,Bukan Fuzzy
2023-02-07T08:26:34+07:00,246,24,66,1258,225,,,,Bukan Fuzzy
2023-02-07T08:26:58+07:00,247,24,66,1252,225,,,,Bukan Fuzzy
2023-02-07T08:27:24+07:00,248,24,66,1256,228,,,,Bukan Fuzzy
2023-02-07T08:27:54+07:00,249,24,69,1224,230,,,,Bukan Fuzzy
2023-02-07T08:28:14+07:00,250,24,70,1281,230,,,,Bukan Fuzzy
2023-02-07T08:28:34+07:00,251,24,71,1305,233,,,,Bukan Fuzzy
2023-02-07T08:28:53+07:00,252,24,73,1245,236,,,,Bukan Fuzzy
2023-02-07T08:29:14+07:00,253,24,80,1310,238,,,,Bukan Fuzzy
2023-02-07T08:29:40+07:00,254,24,74,1267,240,,,,Bukan Fuzzy
2023-02-07T08:30:24+07:00,255,24,72,1305,242,,,,Bukan Fuzzy
2023-02-07T08:32:59+07:00,256,24,74,1301,243,,,,Bukan Fuzzy
2023-02-07T08:33:18+07:00,257,25,76,1275,244,,,,Bukan Fuzzy
2023-02-07T08:33:39+07:00,258,25,77,1308,242,,,,Bukan Fuzzy
2023-02-07T08:33:58+07:00,259,25,77,1339,242,,,,Bukan Fuzzy
2023-02-07T08:34:19+07:00,260,25,78,1281,242,,,,Bukan Fuzzy
2023-02-07T08:34:40+07:00,261,25,79,1301,241,,,,Bukan Fuzzy
2023-02-07T08:34:58+07:00,262,25,78,1302,240,,,,Bukan Fuzzy
2023-02-07T08:35:18+07:00,263,25,78,1260,240,,,,Bukan Fuzzy
2023-02-07T08:35:38+07:00,264,25,79,1285,240,,,,Bukan Fuzzy
2023-02-07T08:35:59+07:00,265,25,79,1333,241,,,,Bukan Fuzzy
2023-02-07T08:36:18+07:00,266,25,80,1314,263,,,,Bukan Fuzzy
2023-02-07T08:36:38+07:00,267,25,79,1272,241,,,,Bukan Fuzzy
2023-02-07T08:36:59+07:00,268,25,79,1200,238,,,,Bukan Fuzzy
2023-02-07T08:37:21+07:00,269,25,78,1091,238,,,,Bukan Fuzzy
2023-02-07T08:37:39+07:00,270,25,78,1122,238,,,,Bukan Fuzzy
2023-02-07T08:38:00+07:00,271,25,78,1202,238,,,,Bukan Fuzzy
2023-02-07T08:38:20+07:00,272,25,78,1075,241,,,,Bukan Fuzzy
2023-02-07T08:38:39+07:00,273,25,76,1088,240,,,,Bukan Fuzzy
2023-02-07T08:39:02+07:00,274,25,78,1045,241,,,,Bukan Fuzzy
2023-02-07T08:39:18+07:00,275,25,78,1013,240,,,,Bukan Fuzzy
2023-02-07T08:39:39+07:00,276,25,77,1007,240,,,,Bukan Fuzzy
2023-02-07T08:40:00+07:00,277,25,77,1036,238,,,,Bukan Fuzzy
2023-02-07T08:40:19+07:00,278,25,78,998,237,,,,Bukan Fuzzy
2023-02-07T08:40:39+07:00,279,25,79,987,237,,,,Bukan Fuzzy
2023-02-07T08:40:59+07:00,280,25,78,1013,238,,,,Bukan Fuzzy
2023-02-07T08:41:21+07:00,281,25,79,1048,238,,,,Bukan Fuzzy
2023-02-07T08:41:38+07:00,282,25,78,1039,238,,,,Bukan Fuzzy
2023-02-07T08:41:59+07:00,283,25,75,974,240,,,,Bukan Fuzzy
2023-02-07T08:42:19+07:00,284,25,76,1005,239,,,,Bukan Fuzzy
2023-02-07T08:42:38+07:00,285,25,76,1083,236,,,,Bukan Fuzzy
2023-02-07T08:43:01+07:00,286,25,75,1020,234,,,,Bukan Fuzzy
2023-02-07T08:43:18+07:00,287,25,75,1044,234,,,,Bukan Fuzzy
2023-02-07T08:43:42+07:00,288,26,77,1077,233,,,,Bukan Fuzzy
2023-02-07T08:44:00+07:00,289,26,78,1063,227,,,,Bukan Fuzzy
2023-02-07T08:44:20+07:00,290,26,77,1045,240,,,,Bukan Fuzzy
2023-02-07T08:44:38+07:00,291,26,77,1124,245,,,,Bukan Fuzzy
2023-02-07T08:44:58+07:00,292,26,78,1121,246,,,,Bukan Fuzzy
2023-02-07T08:45:18+07:00,293,26,77,1119,244,,,,Bukan Fuzzy
2023-02-07T08:45:38+07:00,294,26,80,1066,243,,,,Bukan Fuzzy
2023-02-07T08:45:58+07:00,295,26,79,1084,246,,,,Bukan Fuzzy
2023-02-07T08:46:18+07:00,296,26,76,1105,246,,,,Bukan Fuzzy
2023-02-07T08:46:43+07:00,297,26,76,1109,248,,,,Bukan Fuzzy
2023-02-07T08:47:13+07:00,298,26,76,1101,248,,,,Bukan Fuzzy
2023-02-07T08:47:40+07:00,299,26,76,1153,238,,,,Bukan Fuzzy
2023-02-07T08:48:00+07:00,300,26,76,1223,242,,,,Bukan Fuzzy
2023-02-07T08:48:18+07:00,301,26,76,1200,251,,,,Bukan Fuzzy
2023-02-07T08:48:38+07:00,302,26,76,1167,242,,,,Bukan Fuzzy
2023-02-07T08:48:58+07:00,303,26,76,1198,260,,,,Bukan Fuzzy
2023-02-07T08:49:18+07:00,304,26,75,1209,257,,,,Bukan Fuzzy
2023-02-07T08:49:39+07:00,305,26,75,1184,257,,,,Bukan Fuzzy
2023-02-07T08:49:58+07:00,306,26,77,1186,254,,,,Bukan Fuzzy
2023-02-07T08:50:18+07:00,307,26,76,1127,245,,,,Bukan Fuzzy
2023-02-07T08:50:41+07:00,308,26,76,1218,255,,,,Bukan Fuzzy
2023-02-07T08:50:58+07:00,309,26,76,1197,257,,,,Bukan Fuzzy
2023-02-07T08:51:18+07:00,310,26,76,1228,256,,,,Bukan Fuzzy
2023-02-07T08:51:38+07:00,311,26,76,1152,259,,,,Bukan Fuzzy
2023-02-07T08:51:59+07:00,312,26,76,1188,259,,,,Bukan Fuzzy
2023-02-07T08:52:18+07:00,313,26,76,1177,257,,,,Bukan Fuzzy
2023-02-07T08:52:38+07:00,314,26,76,1163,256,,,,Bukan Fuzzy
